order_id,hospital_id,provider_id,device_name,quantity,order_date,delivery_date
O001,H001,P001,Ventilator,5,2024-01-15,2024-01-20
O002,H001,P002,CPAP,20,2024-01-15,2024-01-22
O003,H001,P005,Stethoscope,500,2024-01-16,2024-01-21
O004,H002,P002,Ventilator,3,2024-01-16,2024-01-23
O005,H002,P006,Defibrillator,2,2024-01-17,2024-01-24
O006,H003,P004,Single-use electrosurgical scalpel,10,2024-01-17,2024-01-24
O007,H003,P002,Blood Pressure Monitor,1000,2024-01-18,2024-01-23
O008,H004,P004,CPAP,15,2024-01-18,2024-01-25
O010,H005,P001,Defibrillator,4,2024-01-19,2024-01-26
O011,H005,P001,Blood Pressure Monitor,30,2024-01-20,2024-01-27
